round,stadium,home_team,home_score,away_score,away_team,year,pontos
43,Santa Cruz,Figueirense,2.0,1.0,Atlético-MG,2004,0
44,Ipatingão,Atlético-MG,0.0,0.0,Paysandu,2004,1
45,Colosso da Lagoa,Grêmio,0.0,1.0,Atlético-MG,2004,3
46,Mineirão,Atlético-MG,3.0,0.0,São Caetano,2004,3
1,Mineirão,Atlético-MG,4.0,1.0,Figueirense,2005,3
2,Moisés Lucarelli,Ponte Preta,3.0,3.0,Atlético-MG,2005,1
3,Mineirão,Atlético-MG,0.0,1.0,Brasiliense,2005,0
4,Luso-Brasileiro,Botafogo,2.0,1.0,Atlético-MG,2005,0
5,Vila Belmiro,Santos,3.0,0.0,Atlético-MG,2005,0
6,Mineirão,Atlético-MG,0.0,1.0,Corinthians,2005,0
7,Beira-Rio,Internacional,1.0,1.0,Atlético-MG,2005,1
8,Mineirão,Atlético-MG,2.0,3.0,São Caetano,2005,0
9,Pinheirão (PR),Paraná,1.0,0.0,Atlético-MG,2005,0
10,Mineirão,Atlético-MG,3.0,1.0,Flamengo,2005,3
11,Mineirão,Cruzeiro,2.0,1.0,Atlético-MG,2005,0
12,Mineirão,Atlético-MG,2.0,3.0,Athletico-PR,2005,0
13,Castelão (CE),Fortaleza,1.0,4.0,Atlético-MG,2005,3
14,Palestra Itália,Palmeiras,1.0,0.0,Atlético-MG,2005,0
15,Mineirão,Atlético-MG,0.0,0.0,São Paulo,2005,1
16,Serra Dourada,Goiás,3.0,1.0,Atlético-MG,2005,0
17,Mineirão,Atlético-MG,2.0,2.0,Paysandu,2005,1
18,Mineirão,Atlético-MG,1.0,2.0,Fluminense,2005,0
19,Couto Pereira,Coritiba,1.0,0.0,Atlético-MG,2005,0
20,São Januário,Vasco,2.0,1.0,Atlético-MG,2005,0
21,Mineirão,Atlético-MG,2.0,1.0,Juventude,2005,3
22,Orlando Scarpelli,Figueirense,0.0,1.0,Atlético-MG,2005,3
23,Mineirão,Atlético-MG,1.0,0.0,Ponte Preta,2005,3
24,Boca do Jacaré,Brasiliense,1.0,2.0,Atlético-MG,2005,3
25,Independência,Atlético-MG,0.0,2.0,Botafogo,2005,0
26,Mineirão,Atlético-MG,3.0,0.0,Santos,2005,3
27,Pacaembu,Corinthians,1.0,1.0,Atlético-MG,2005,1
28,Mineirão,Atlético-MG,1.0,1.0,Internacional,2005,1
29,Anacleto Campanella,São Caetano,3.0,1.0,Atlético-MG,2005,0
30,Mineirão,Atlético-MG,0.0,1.0,Paraná,2005,0
31,Luso-Brasileiro,Flamengo,1.0,2.0,Atlético-MG,2005,3
32,Mineirão,Atlético-MG,0.0,1.0,Cruzeiro,2005,0
33,Ligga Arena,Athletico-PR,2.0,0.0,Atlético-MG,2005,0
34,Mineirão,Atlético-MG,2.0,3.0,Fortaleza,2005,0
35,Mineirão,Atlético-MG,1.0,3.0,Palmeiras,2005,0
36,Morumbi,São Paulo,2.0,2.0,Atlético-MG,2005,1
37,Mineirão,Atlético-MG,1.0,2.0,Goiás,2005,0
38,Mangueirão,Paysandu,0.0,2.0,Atlético-MG,2005,3
39,Raulino de Oliveira,Fluminense,0.0,2.0,Atlético-MG,2005,3
40,Mineirão,Atlético-MG,1.0,0.0,Coritiba,2005,3
41,Mineirão,Atlético-MG,0.0,0.0,Vasco,2005,1
42,Alfredo Jaconi,Juventude,1.0,3.0,Atlético-MG,2005,3
1,Mineirão,Atlético-MG,2.0,1.0,Náutico,2007,3
2,Maracanã,Botafogo,2.0,1.0,Atlético-MG,2007,0
3,Morumbi,Corinthians,0.0,0.0,Atlético-MG,2007,1
4,Mineirão,Atlético-MG,1.0,1.0,Athletico-PR,2007,1
5,Morumbi,São Paulo,0.0,1.0,Atlético-MG,2007,3
6,Mineirão,Atlético-MG,4.0,1.0,Figueirense,2007,3
7,Mineirão,Cruzeiro,4.0,2.0,Atlético-MG,2007,0
8,Beira-Rio,Internacional,1.0,1.0,Atlético-MG,2007,1
9,Mineirão,Atlético-MG,1.0,1.0,Flamengo,2007,1
10,Mineirão,Atlético-MG,0.0,1.0,Grêmio,2007,0
11,Ilha do Retiro,Sport,2.0,0.0,Atlético-MG,2007,0
12,Mineirão,Atlético-MG,4.0,1.0,América-RN,2007,3
13,São Januário,Vasco,4.0,0.0,Atlético-MG,2007,0
14,Mineirão,Atlético-MG,3.0,0.0,Fluminense,2007,3
15,Durival Britto,Paraná,1.0,3.0,Atlético-MG,2007,3
16,Mineirão,Atlético-MG,1.0,2.0,Santos,2007,0
17,Alfredo Jaconi,Juventude,1.0,2.0,Atlético-MG,2007,3
18,Serra Dourada,Goiás,3.0,2.0,Atlético-MG,2007,0
19,Mineirão,Atlético-MG,1.0,2.0,Palmeiras,2007,0
20,Aflitos,Náutico,0.0,1.0,Atlético-MG,2007,3
21,Mineirão,Atlético-MG,1.0,2.0,Botafogo,2007,0
22,Mineirão,Atlético-MG,5.0,2.0,Corinthians,2007,3
23,Ligga Arena,Athletico-PR,1.0,0.0,Atlético-MG,2007,0
24,Mineirão,Atlético-MG,0.0,0.0,São Paulo,2007,1
25,Orlando Scarpelli,Figueirense,2.0,1.0,Atlético-MG,2007,0
26,Mineirão,Atlético-MG,3.0,4.0,Cruzeiro,2007,0
27,Mineirão,Atlético-MG,2.0,2.0,Internacional,2007,1
28,Maracanã,Flamengo,1.0,0.0,Atlético-MG,2007,0
29,Olímpico,Grêmio,2.0,2.0,Atlético-MG,2007,1
30,Mineirão,Atlético-MG,3.0,1.0,Sport,2007,3
31,Machadão (RN),América-RN,0.0,1.0,Atlético-MG,2007,3
32,Mineirão,Atlético-MG,1.0,0.0,Vasco,2007,3
33,Maracanã,Fluminense,1.0,1.0,Atlético-MG,2007,1
34,Mineirão,Atlético-MG,0.0,0.0,Paraná,2007,1
35,Vila Belmiro,Santos,2.0,2.0,Atlético-MG,2007,1
36,Mineirão,Atlético-MG,4.0,1.0,Juventude,2007,3
37,Mineirão,Atlético-MG,4.0,1.0,Goiás,2007,3
38,Palestra Itália,Palmeiras,1.0,3.0,Atlético-MG,2007,3
1,Mineirão,Atlético-MG,0.0,0.0,Fluminense,2008,1
2,Serra Dourada,Goiás,1.0,1.0,Atlético-MG,2008,1
3,Ligga Arena,Athletico-PR,1.0,1.0,Atlético-MG,2008,1
4,Mineirão,Atlético-MG,2.0,0.0,Portuguesa,2008,3
5,Morumbi,São Paulo,5.0,1.0,Atlético-MG,2008,0
6,Mineirão,Atlético-MG,4.0,2.0,Ipatinga,2008,3
7,Arruda,Náutico,2.0,1.0,Atlético-MG,2008,0
8,Orlando Scarpelli,Figueirense,1.0,1.0,Atlético-MG,2008,1
9,Mineirão,Atlético-MG,1.0,1.0,Palmeiras,2008,1
10,Mineirão,Atlético-MG,1.0,1.0,Flamengo,2008,1
11,Mineirão,Cruzeiro,2.0,1.0,Atlético-MG,2008,0
12,Beira-Rio,Internacional,1.0,0.0,Atlético-MG,2008,0
13,Mineirão,Atlético-MG,3.0,2.0,Coritiba,2008,3
14,Nilton Santos (Engenhão),Botafogo,4.0,0.0,Atlético-MG,2008,0
15,Mineirão,Atlético-MG,2.0,1.0,Vitória,2008,3
16,São Januário,Vasco,6.0,1.0,Atlético-MG,2008,0
17,Mineirão,Atlético-MG,2.0,1.0,Sport,2008,3
18,Vila Belmiro,Santos,2.0,3.0,Atlético-MG,2008,3
19,Mineirão,Atlético-MG,0.0,4.0,Grêmio,2008,0
20,Maracanã,Fluminense,1.0,0.0,Atlético-MG,2008,0
21,Mineirão,Atlético-MG,1.0,1.0,Goiás,2008,1
22,Mineirão,Atlético-MG,4.0,0.0,Athletico-PR,2008,3
23,Canindé,Portuguesa,1.0,1.0,Atlético-MG,2008,1
24,Mineirão,Atlético-MG,1.0,1.0,São Paulo,2008,1
25,Ipatingão,Ipatinga,3.0,2.0,Atlético-MG,2008,0
26,Mineirão,Atlético-MG,2.0,1.0,Náutico,2008,3
